,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_Type_Combined,Id_Item_First,Id_Item_Second,Id_Item_Third,Class_Outlet_Per_Year,Class_Item_Weight,Class_Item_Visibility,Item_Sales,Item_MRP_AVG,Item_Sales_AVG,Class_Item_MRP,Outlet_Item_Sales_AVG
33,FDR13,9.895,Regular,0.028696932,Canned,117.0492,OUT013,1987,High,Tier 3,Supermarket Type1,810.9444,Food,FD,R,13,Class A,Medium,Low,7.0,116.74919999999999,10.333333333333334,Medium,15.99785407725322
34,FDK21,7.905,Low Fat,0.010053105,Snack Foods,249.0408,OUT018,2009,Medium,Tier 3,Supermarket Type2,6258.52,Food,FD,K,21,Class C,Medium,Low,25.0,249.66937142857142,13.285714285714286,Expensive,13.856681034482758
35,DRK35,8.365,Low Fat,0.071958197,Hard Drinks,38.0506,OUT049,1999,Medium,Tier 1,Supermarket Type1,796.9626,Drinks,DR,K,35,Class B,Medium,Low,21.0,37.9256,15.875,Cheap,16.636559139784946
36,FDY21,15.1,Low Fat,0.17348130399999998,Snack Foods,194.511,OUT046,1997,Small,Tier 1,Supermarket Type1,4910.275,Food,FD,Y,21,Class B,Heavy,Intermediate,25.0,195.76099999999997,16.0,Medium,16.18709677419355
37,FDM20,10.0,Low Fat,0.0232488068,Fruits and Vegetables,246.9144,OUT018,2009,Medium,Tier 3,Supermarket Type2,3185.1872,Food,FD,M,20,Class C,Medium,Low,13.0,245.31440000000003,20.2,Expensive,13.856681034482758
38,FDH19,19.35,Low Fat,0.033082215,Meat,172.5738,OUT035,2004,Small,Tier 2,Supermarket Type1,4865.6664,Food,FD,H,19,Class C,Heavy,Low,28.0,173.5452285714286,17.0,Medium,16.966666666666665
39,NCI17,8.645,Low Fat,0.14342264300000002,Health and Hygiene,95.84100000000001,OUT046,1997,Small,Tier 1,Supermarket Type1,2027.361,Non-Consumable,NC,I,17,Class B,Medium,Low,21.0,95.69100000000002,17.166666666666668,Cheap,16.18709677419355
40,FDJ58,15.6,Regular,0.10529607199999999,Snack Foods,170.1764,OUT046,1997,Small,Tier 1,Supermarket Type1,3435.528,Food,FD,J,58,Class B,Heavy,Low,20.0,171.9139,14.75,Medium,16.18709677419355
41,FDL12,15.85,Regular,0.121531501,Baking Goods,59.222,OUT013,1987,High,Tier 3,Supermarket Type1,599.22,Food,FD,L,12,Class A,Heavy,Low,10.0,59.802,17.0,Cheap,15.99785407725322
42,NCZ18,7.825,Low Fat,0.186357148,Household,254.3698,OUT049,1999,Medium,Tier 1,Supermarket Type1,5580.7356,Non-Consumable,NC,Z,18,Class B,Medium,Intermediate,22.0,254.04122857142858,16.714285714285715,Expensive,16.636559139784946
43,FDC29,8.39,Regular,0.024205661,Frozen Foods,114.0176,OUT046,1997,Small,Tier 1,Supermarket Type1,2290.3520000000003,Food,FD,C,29,Class B,Medium,Low,20.0,114.10331428571428,17.0,Medium,16.18709677419355
44,FDQ10,12.85,Low Fat,0.033230816,Snack Foods,172.3422,OUT049,1999,Medium,Tier 1,Supermarket Type1,1207.0954,Food,FD,Q,10,Class B,Heavy,Low,7.0,171.65648571428574,18.857142857142858,Medium,16.636559139784946
45,FDD58,7.76,Low Fat,0.05935224099999999,Snack Foods,101.87,OUT046,1997,Small,Tier 1,Supermarket Type1,1697.79,Food,FD,D,58,Class B,Medium,Low,17.0,99.92,13.0,Cheap,16.18709677419355
46,FDN04,11.8,Regular,0.014087057,Frozen Foods,180.3344,OUT046,1997,Small,Tier 1,Supermarket Type1,1427.4752,Food,FD,N,04,Class B,Heavy,Low,8.0,178.8201142857143,14.142857142857142,Medium,16.18709677419355
47,FDV45,16.75,Low Fat,0.045230944,Snack Foods,187.9556,OUT018,2009,Medium,Tier 3,Supermarket Type2,4693.89,Food,FD,V,45,Class C,Heavy,Low,25.0,187.74131428571428,19.0,Medium,13.856681034482758
48,FDZ55,6.055,Low Fat,0.025403897999999998,Fruits and Vegetables,160.99200000000002,OUT035,2004,Small,Tier 2,Supermarket Type1,2716.4640000000004,Food,FD,Z,55,Class C,Medium,Low,17.0,159.9586666666667,22.0,Medium,16.966666666666665
49,FDN33,6.305,Regular,0.123115764,Snack Foods,95.6436,OUT046,1997,Small,Tier 1,Supermarket Type1,661.8052,Food,FD,N,33,Class B,Medium,Low,7.0,93.86859999999999,14.25,Cheap,16.18709677419355
50,FDN27,20.85,Low Fat,0.039624006,Meat,117.2808,OUT049,1999,Medium,Tier 1,Supermarket Type1,1523.3504,Food,FD,N,27,Class B,Extra Heavy,Low,13.0,116.5808,15.5,Medium,16.636559139784946
51,DRG27,8.895,Low Fat,0.10527411099999999,Dairy,39.9138,OUT049,1999,Medium,Tier 1,Supermarket Type1,690.4346,Drinks,DR,G,27,Class B,Medium,Low,17.0,40.8738,13.0,Cheap,16.636559139784946
52,FDA44,19.7,Low Fat,0.053212652,Fruits and Vegetables,57.893,OUT035,2004,Small,Tier 2,Supermarket Type1,622.523,Food,FD,A,44,Class C,Heavy,Low,11.0,56.46800000000001,16.625,Cheap,16.966666666666665
53,NCR17,9.8,Low Fat,0.024378706,Health and Hygiene,114.5492,OUT035,2004,Small,Tier 2,Supermarket Type1,1274.3412,Non-Consumable,NC,R,17,Class C,Medium,Low,11.0,115.48253333333334,20.833333333333332,Medium,16.966666666666665
54,FDF41,12.15,Low Fat,0.131383762,Frozen Foods,246.046,OUT049,1999,Medium,Tier 1,Supermarket Type1,1231.73,Food,FD,F,41,Class B,Heavy,Low,5.0,246.396,16.166666666666668,Expensive,16.636559139784946
55,FDB56,8.75,Regular,0.07461309,Fruits and Vegetables,187.4556,OUT035,2004,Small,Tier 2,Supermarket Type1,3755.112,Food,FD,B,56,Class C,Medium,Low,20.0,187.4413142857143,20.428571428571427,Medium,16.966666666666665
56,FDB56,8.75,Regular,0.07462720099999999,Fruits and Vegetables,187.8556,OUT046,1997,Small,Tier 1,Supermarket Type1,1314.2892,Food,FD,B,56,Class B,Medium,Low,7.0,187.4413142857143,20.428571428571427,Medium,16.18709677419355
57,FDW57,8.31,Regular,0.11585722300000001,Snack Foods,179.1028,OUT049,1999,Medium,Tier 1,Supermarket Type1,3896.2616,Food,FD,W,57,Class B,Medium,Low,22.0,177.34279999999998,19.4,Medium,16.636559139784946
58,DRB48,16.75,Regular,0.024832806000000002,Soft Drinks,38.7822,OUT013,1987,High,Tier 3,Supermarket Type1,667.7974,Drinks,DR,B,48,Class A,Heavy,Low,17.0,39.25362857142857,16.0,Cheap,15.99785407725322
59,FDP09,19.75,Low Fat,0.034027909,Snack Foods,212.0902,OUT018,2009,Medium,Tier 3,Supermarket Type2,3185.853,Food,FD,P,09,Class C,Heavy,Low,15.0,212.57020000000003,15.6,Expensive,13.856681034482758
60,FDH14,17.1,Regular,0.046769599999999995,Canned,141.1838,OUT013,1987,High,Tier 3,Supermarket Type1,2247.7408,Food,FD,H,14,Class A,Heavy,Low,16.0,141.25522857142855,11.571428571428571,Medium,15.99785407725322
61,FDA47,10.5,Regular,0.11657670199999999,Baking Goods,163.121,OUT013,1987,High,Tier 3,Supermarket Type1,1794.3310000000001,Food,FD,A,47,Class A,Heavy,Low,11.0,163.271,17.666666666666668,Medium,15.99785407725322
62,DRK49,14.15,Low Fat,0.035913805,Soft Drinks,41.4138,OUT013,1987,High,Tier 3,Supermarket Type1,812.2760000000001,Drinks,DR,K,49,Class A,Heavy,Low,20.0,40.74237142857144,14.571428571428571,Cheap,15.99785407725322
63,FDD03,13.3,Low Fat,0.079806266,Dairy,232.53,OUT046,1997,Small,Tier 1,Supermarket Type1,699.09,Food,FD,D,03,Class B,Heavy,Low,3.0,232.99,12.8,Expensive,16.18709677419355
64,FDD17,7.5,Low Fat,0.032677677999999995,Frozen Foods,239.0906,OUT049,1999,Medium,Tier 1,Supermarket Type1,5942.265,Food,FD,D,17,Class B,Medium,Low,25.0,238.1048857142857,14.571428571428571,Expensive,16.636559139784946
65,FDZ46,7.485,Low Fat,0.06911065,Snack Foods,109.0228,OUT035,2004,Small,Tier 2,Supermarket Type1,2542.0244,Food,FD,Z,46,Class C,Medium,Low,23.0,110.4978,14.0,Medium,16.966666666666665
66,FDY58,11.65,Low Fat,0.040081193,Snack Foods,227.0694,OUT018,2009,Medium,Tier 3,Supermarket Type2,1141.847,Food,FD,Y,58,Class C,Heavy,Low,5.0,227.80273333333335,18.0,Expensive,13.856681034482758
67,FDJ38,8.6,Regular,0.040197932,Canned,190.153,OUT035,2004,Small,Tier 2,Supermarket Type1,3036.048,Food,FD,J,38,Class C,Medium,Low,16.0,190.05299999999997,20.0,Medium,16.966666666666665
68,FDL40,17.7,Low Fat,0.01161096,Frozen Foods,95.041,OUT035,2004,Small,Tier 2,Supermarket Type1,868.8689999999999,Food,FD,L,40,Class C,Heavy,Low,9.0,96.0552857142857,10.857142857142858,Cheap,16.966666666666665
69,DRI49,14.15,Low Fat,0.183507295,Soft Drinks,82.4276,OUT046,1997,Small,Tier 1,Supermarket Type1,1137.1864,Drinks,DR,I,49,Class B,Heavy,Intermediate,14.0,82.4526,17.5,Cheap,16.18709677419355
70,DRG23,8.88,Low Fat,0.08670898699999999,Hard Drinks,151.7682,OUT013,1987,High,Tier 3,Supermarket Type1,762.341,Drinks,DR,G,23,Class A,Medium,Low,5.0,152.73962857142854,11.571428571428571,Medium,15.99785407725322
71,NCH54,13.5,Low Fat,0.07266912,Household,160.292,OUT046,1997,Small,Tier 1,Supermarket Type1,1438.128,Non-Consumable,NC,H,54,Class B,Heavy,Low,9.0,159.942,11.833333333333334,Medium,16.18709677419355
72,FDG02,7.855,Low Fat,0.011307038,Canned,188.5188,OUT018,2009,Medium,Tier 3,Supermarket Type2,952.0939999999999,Food,FD,G,02,Class C,Medium,Low,5.0,190.1988,10.2,Medium,13.856681034482758
73,NCO26,7.235,Low Fat,0.076855628,Household,116.0492,OUT046,1997,Small,Tier 1,Supermarket Type1,1969.4364,Non-Consumable,NC,O,26,Class B,Medium,Low,17.0,116.83253333333333,18.333333333333332,Medium,16.18709677419355
74,NCC31,8.02,Low Fat,0.019866705,Household,154.5972,OUT035,2004,Small,Tier 2,Supermarket Type1,1402.1748,Non-Consumable,NC,C,31,Class C,Medium,Low,9.0,156.0722,12.25,Medium,16.966666666666665
75,NCC30,16.6,Low Fat,0.027622076000000002,Household,177.6344,OUT049,1999,Medium,Tier 1,Supermarket Type1,2676.5159999999996,Non-Consumable,NC,C,30,Class B,Heavy,Low,15.0,177.2544,10.4,Medium,16.636559139784946
76,FDI16,14.0,Regular,0.128357683,Frozen Foods,53.06399999999999,OUT035,2004,Small,Tier 2,Supermarket Type1,905.488,Food,FD,I,16,Class C,Heavy,Low,17.0,53.580666666666666,19.166666666666668,Cheap,16.966666666666665
77,FDP16,18.6,Low Fat,0.039355947,Frozen Foods,246.3802,OUT049,1999,Medium,Tier 1,Supermarket Type1,7370.406,Food,FD,P,16,Class B,Heavy,Low,30.0,245.32019999999997,15.8,Expensive,16.636559139784946
78,FDB11,16.0,Low Fat,0.060836524,Starchy Foods,226.8404,OUT035,2004,Small,Tier 2,Supermarket Type1,6301.1312,Food,FD,B,11,Class C,Heavy,Low,28.0,225.3404,19.8,Expensive,16.966666666666665
79,NCB06,17.6,Low Fat,0.082316506,Health and Hygiene,160.692,OUT035,2004,Small,Tier 2,Supermarket Type1,1597.92,Non-Consumable,NC,B,06,Class C,Heavy,Low,10.0,161.19200000000004,16.2,Medium,16.966666666666665
80,FDA45,21.25,Low Fat,0.155350299,Snack Foods,178.237,OUT035,2004,Small,Tier 2,Supermarket Type1,529.311,Food,FD,A,45,Class C,Extra Heavy,Intermediate,3.0,177.317,15.8,Medium,16.966666666666665
81,NCO26,7.235,Low Fat,0.076841095,Household,117.5492,OUT035,2004,Small,Tier 2,Supermarket Type1,1969.4364,Non-Consumable,NC,O,26,Class C,Medium,Low,17.0,116.83253333333333,18.333333333333332,Medium,16.966666666666665
82,FDR28,13.85,Regular,0.026001976,Frozen Foods,161.52100000000002,OUT018,2009,Medium,Tier 3,Supermarket Type2,1794.3310000000001,Food,FD,R,28,Class C,Heavy,Low,11.0,163.561,16.2,Medium,13.856681034482758
83,FDI04,13.65,Regular,0.073209447,Frozen Foods,197.6426,OUT018,2009,Medium,Tier 3,Supermarket Type2,2768.3964,Food,FD,I,04,Class C,Heavy,Low,14.0,197.9283142857143,15.428571428571429,Medium,13.856681034482758
84,FDX20,7.365,Low Fat,0.042560252,Fruits and Vegetables,226.172,OUT046,1997,Small,Tier 1,Supermarket Type1,3169.208,Food,FD,X,20,Class B,Medium,Low,14.0,226.88311111111113,14.222222222222221,Expensive,16.18709677419355
85,NCI18,18.35,Low Fat,0.014081156000000001,Household,223.5746,OUT018,2009,Medium,Tier 3,Supermarket Type2,3589.9936,Non-Consumable,NC,I,18,Class C,Heavy,Low,16.0,223.80793333333335,12.0,Expensive,13.856681034482758
86,FDB36,5.465,Regular,0.03467489585714286,Baking Goods,132.5626,OUT018,2009,Medium,Tier 3,Supermarket Type2,262.3252,Food,FD,B,36,Class C,Medium,Low,2.0,131.50545714285713,16.428571428571427,Medium,13.856681034482758
87,FDQ28,14.0,Regular,0.06037677599999999,Frozen Foods,154.5656,OUT013,1987,High,Tier 3,Supermarket Type1,2471.4496,Food,FD,Q,28,Class A,Heavy,Low,16.0,154.01559999999998,21.0,Medium,15.99785407725322
88,FDM22,14.0,Regular,0.04192285,Snack Foods,54.763999999999996,OUT013,1987,High,Tier 3,Supermarket Type1,1331.6,Food,FD,M,22,Class A,Heavy,Low,24.0,53.663999999999994,19.0,Cheap,15.99785407725322
89,FDV25,5.905,Low Fat,0.045838211,Canned,222.5456,OUT018,2009,Medium,Tier 3,Supermarket Type2,3315.684,Food,FD,V,25,Class C,Medium,Low,15.0,221.7056,20.0,Expensive,13.856681034482758
90,DRF49,7.27,Low Fat,0.071077939,Soft Drinks,114.2518,OUT046,1997,Small,Tier 1,Supermarket Type1,2618.5914,Drinks,DR,F,49,Class B,Medium,Low,23.0,113.01846666666665,11.833333333333334,Medium,16.18709677419355
91,FDW51,6.155,Regular,0.09465987099999999,Meat,214.55599999999998,OUT046,1997,Small,Tier 1,Supermarket Type1,2769.728,Food,FD,W,51,Class B,Medium,Low,13.0,213.7393333333333,15.0,Expensive,16.18709677419355
92,FDL50,12.15,Regular,0.042485444000000004,Canned,125.0046,OUT018,2009,Medium,Tier 3,Supermarket Type2,1743.0644,Food,FD,L,50,Class C,Heavy,Low,14.0,125.10459999999999,11.5,Medium,13.856681034482758
93,FDW11,12.6,Low Fat,0.048980800000000005,Breads,61.9194,OUT018,2009,Medium,Tier 3,Supermarket Type2,619.194,Food,FD,W,11,Class C,Heavy,Low,10.0,61.2394,15.2,Cheap,13.856681034482758
94,NCM43,14.5,Low Fat,0.019471688,Others,164.821,OUT035,2004,Small,Tier 2,Supermarket Type1,2120.573,Non-Consumable,NC,M,43,Class C,Heavy,Low,13.0,163.3352857142857,13.857142857142858,Medium,16.966666666666665
95,FDM15,11.8,Regular,0.057373797000000004,Meat,151.4366,OUT013,1987,High,Tier 3,Supermarket Type1,1360.2294,Food,FD,M,15,Class A,Heavy,Low,9.0,151.09374285714284,17.285714285714285,Medium,15.99785407725322
96,FDS31,13.1,Regular,0.044155597000000005,Fruits and Vegetables,178.8318,OUT013,1987,High,Tier 3,Supermarket Type1,3969.4996,Food,FD,S,31,Class A,Heavy,Low,22.0,179.13179999999997,14.285714285714286,Medium,15.99785407725322
97,FDU50,5.75,Regular,0.075107656,Dairy,112.8176,OUT013,1987,High,Tier 3,Supermarket Type1,1374.2112,Food,FD,U,50,Class A,Medium,Low,12.0,114.4176,16.0,Medium,15.99785407725322
98,FDK58,11.35,Regular,0.045165795999999994,Snack Foods,100.0016,OUT018,2009,Medium,Tier 3,Supermarket Type2,1012.0160000000001,Food,FD,K,58,Class C,Heavy,Low,10.0,101.9266,17.75,Medium,13.856681034482758
99,NCW29,14.0,Low Fat,0.028907832,Health and Hygiene,130.431,OUT049,1999,Medium,Tier 1,Supermarket Type1,778.9860000000001,Non-Consumable,NC,W,29,Class B,Heavy,Low,6.0,130.41433333333333,13.5,Medium,16.636559139784946
100,NCB19,6.525,Low Fat,0.09043609400000001,Household,85.0882,OUT049,1999,Medium,Tier 1,Supermarket Type1,2233.0932,Non-Consumable,NC,B,19,Class B,Medium,Low,26.0,85.67153333333333,16.666666666666668,Cheap,16.636559139784946
101,FDV15,10.3,Low Fat,0.146399712,Meat,103.9648,OUT049,1999,Medium,Tier 1,Supermarket Type1,1661.8368,Food,FD,V,15,Class B,Heavy,Low,16.0,103.7648,19.5,Medium,16.636559139784946
102,FDL58,5.78,Regular,0.07426435599999999,Snack Foods,264.7568,OUT049,1999,Medium,Tier 1,Supermarket Type1,4745.8224,Food,FD,L,58,Class B,Medium,Low,18.0,263.9568,14.5,Expensive,16.636559139784946
103,FDT43,16.35,Low Fat,0.020631654,Fruits and Vegetables,50.1324,OUT018,2009,Medium,Tier 3,Supermarket Type2,467.3916,Food,FD,T,43,Class C,Heavy,Low,9.0,51.189542857142854,12.285714285714286,Cheap,13.856681034482758
104,FDT20,10.5,Low Fat,0.041395445,Fruits and Vegetables,37.6164,OUT046,1997,Small,Tier 1,Supermarket Type1,540.6296,Food,FD,T,20,Class B,Heavy,Low,14.0,38.733066666666666,20.833333333333332,Cheap,16.18709677419355
105,FDB41,19.0,Regular,0.097313129,Frozen Foods,48.0718,OUT046,1997,Small,Tier 1,Supermarket Type1,992.7078,Food,FD,B,41,Class B,Heavy,Low,21.0,47.471799999999995,12.666666666666666,Cheap,16.18709677419355
106,NCN55,14.6,Low Fat,0.059582996,Others,238.8538,OUT049,1999,Medium,Tier 1,Supermarket Type1,6008.845,Non-Consumable,NC,N,55,Class B,Heavy,Low,25.0,240.0138,18.6,Expensive,16.636559139784946
107,FDE36,5.26,Regular,0.041764487,Baking Goods,161.8868,OUT035,2004,Small,Tier 2,Supermarket Type1,3275.736,Food,FD,E,36,Class C,Medium,Low,20.0,163.38680000000002,24.5,Medium,16.966666666666665
108,FDI19,15.1,Low Fat,0.052339069,Meat,242.7512,OUT046,1997,Small,Tier 1,Supermarket Type1,4119.9704,Food,FD,I,19,Class B,Heavy,Low,17.0,243.03453333333331,16.166666666666668,Expensive,16.18709677419355
109,FDG52,13.65,Low Fat,0.06573288299999999,Frozen Foods,45.7402,OUT049,1999,Medium,Tier 1,Supermarket Type1,780.9834,Food,FD,G,52,Class B,Heavy,Low,17.0,46.880199999999995,16.4,Cheap,16.636559139784946
110,DRK12,9.5,Low Fat,0.041878397000000005,Soft Drinks,32.99,OUT035,2004,Small,Tier 2,Supermarket Type1,133.16,Drinks,DR,K,12,Class C,Medium,Low,4.0,32.315000000000005,15.25,Cheap,16.966666666666665
111,DRC27,13.8,Low Fat,0.058091482,Dairy,245.1802,OUT035,2004,Small,Tier 2,Supermarket Type1,5650.6446,Drinks,DR,C,27,Class C,Heavy,Low,23.0,245.89686666666668,11.166666666666666,Expensive,16.966666666666665
112,FDX15,17.2,Low Fat,0.15616879,Meat,160.6578,OUT013,1987,High,Tier 3,Supermarket Type1,3690.5294,Food,FD,X,15,Class A,Heavy,Intermediate,23.0,160.89113333333333,14.0,Medium,15.99785407725322
